Player,Mat,Inns,NO,Runs,BF,HS,Ave,SR,100,50,0,4s,6s
V Kohli,11,11,3,765,847,117,95.62,90.31,3,6,1,68,9
KL Rahul,11,10,4,452,498,102,75.33,90.76,1,2,-,38,9
SS Iyer,11,11,3,530,468,128*,66.25,113.24,2,3,1,37,24
RG Sharma,11,11,0,597,474,131,54.27,125.94,1,3,1,66,31
Shubman Gill,9,9,1,354,331,92,44.25,106.94,-,4,-,41,12
RA Jadeja,11,5,2,120,118,39*,40.00,101.69,-,-,-,7,3
Ishan Kishan,2,2,0,47,48,47,23.50,97.91,-,-,1,5,2
Kuldeep Yadav,11,2,1,19,31,10,19.00,61.29,-,-,-,1,0
SA Yadav,7,7,1,106,105,49,17.66,100.95,-,-,-,12,1
JJ Bumrah,11,3,1,18,29,16,9.00,62.06,-,-,-,1,0
Mohammed Shami,7,4,1,10,20,6,3.33,50.00,-,-,-,1,0
HH Pandya,4,1,1,11,8,11*,-,137.50,-,-,-,0,1
Mohammed Siraj,11,1,1,9,8,9*,-,112.50,-,-,-,1,0
R Ashwin,1,-,0,0,0,-,-,0.00,-,-,-,0,0
SN Thakur,3,-,0,0,0,-,-,0.00,-,-,-,0,0
